AirQualityStation,UnitOfMeasurement,mean
STA.DE_DEHE095,µg/m3,18.44866666333333
STA.DE_DEBW116,µg/m3,24.519927531666667
STA.DE_DEBB055,µg/m3,24.650358676456243
STA.DE_DENW002,µg/m3,21.246634528820145
STA.DE_DEBY115,µg/m3,24.56440658649928
STA.DE_DEBW052,µg/m3,18.61153703433333
STA.DE_DEBW059,µg/m3,15.893115939
STA.DE_DEHE018,µg/m3,18.123999995
STA.DE_DEUB005,µg/m3,17.265311346
STA.DE_DEBW023,µg/m3,15.668478258
STA.DE_DEST091,µg/m3,21.81978465024531
STA.DE_DEHH072,µg/m3,24.481594512987016
STA.DE_DERP046,µg/m3,21.493159927705623
STA.DE_DESN045,µg/m3,25.42566666333333
STA.DE_DESN083,µg/m3,24.409666664666663
STA.DE_DEBW005,µg/m3,19.060185181
STA.DE_DEHE030,µg/m3,21.34791452298551
STA.DE_DEBW107,µg/m3,18.569444439666665
STA.DE_DERP001,µg/m3,19.77442080392806
STA.DE_DENW351,µg/m3,24.839999996
STA.DE_DEBY028,µg/m3,20.674970362037303
STA.DE_DESL017,µg/m3,15.996054515738882
STA.DE_DEBW039,µg/m3,15.346618354
STA.DE_DEBW076,µg/m3,16.923959824218077
STA.DE_DEBW059,µg/m3,18.677410068129497
STA.DE_DEHE032,µg/m3,19.528350503041608
STA.DE_DENW034,µg/m3,19.152267724327064
STA.DE_DESN004,µg/m3,24.98894244231655
STA.DE_DEBW099,µg/m3,25.439814810666668
STA.DE_DEHE005,µg/m3,21.135999999
STA.DE_DENW189,µg/m3,21.21333332933333
STA.DE_DENW212,µg/m3,21.736666663
STA.DE_DENW245,µg/m3,20.063333328666666
STA.DE_DENW375,µg/m3,22.14666666333333
STA.DE_DEBB049,µg/m3,25.616666662
STA.DE_DEBW027,µg/m3,19.500718387557477
STA.DE_DEBY052,µg/m3,19.13248263726619
STA.DE_DENI043,µg/m3,19.963598845568345
STA.DE_DEMV024,µg/m3,22.36289813083214
STA.DE_DERP053,µg/m3,18.013333330000002
STA.DE_DERP013,µg/m3,14.553445580125
STA.DE_DENI052,µg/m3,18.46733919310245
STA.DE_DEBW117,µg/m3,26.635265695666664
STA.DE_DEBW073,µg/m3,19.03535353181818
STA.DE_DEBW152,µg/m3,24.481481478333333
STA.DE_DEBW112,µg/m3,18.569727399713056
STA.DE_DEHH026,µg/m3,27.21460087377193
STA.DE_DENW208,µg/m3,27.27409612276901
STA.DE_DENI067,µg/m3,23.818371396333337
STA.DE_DEMV003,µg/m3,23.61672883430416
STA.DE_DEBW009,µg/m3,17.114734295
STA.DE_DEBW015,µg/m3,21.819396548146557
STA.DE_DEBW010,µg/m3,16.824275358333335
